"legid","Term","FirstName","LastName","Age","Hometown","Qualifier","OccupationSlovak","Party","PartyName","PartyVote","PartyPrefVotes","PartySeats","PrefVotes","InitialRank","FinalRank","RankDifference","ClearedThresh","InitialTop4","MovedToSafe","MovedUp","GearysC","Discipline","things.sponsored","bills.sponsored","amend.sponsored","mean.bill.cosp","mean.amend.cosp","unique.bill.cosp","unique.amend.cosp","RiceOrdinary","RiceDesposato","RollRate","Party_next","PartyName_next","PartyVote_next","PartyPrefVotes_next","PartySeats_next","PrefVotes_next","InitialRank_next","FinalRank_next","RankDifference_next","ClearedThresh_next","InitialTop4_next","MovedToSafe_next","MovedUp_next","GearysC_next","Retired","Switched","TitlesNumber"
11,2002,"Gyula","Bárdos",44,"","0","pedagóg",11,"SMK",321069,789916,20,47910,3,3,0,1,1,0,0,0.4137247,0.977769936485533,20,20,0,5.95,0,36,0,0.742781749562763,0.785533373686545,0.0127028934368384,10,"SMK",269111,791726,20,43436,3,4,-1,1,1,0,0,0.7393304,0,0,1
11,2006,"Gyula","Bárdos",48,"Senec","","pedagóg",10,"SMK",269111,791726,20,43436,3,4,-1,1,1,0,0,0.7393304,0.960224190923884,14,11,3,15.7272727272727,8.5,63,16,0.765804857470017,0.765804857470017,0.255107575483638,7,"SMK",109638,309527,0,21943,2,3,-1,1,1,0,0,1.038498,0,0,0
13,2006,"Rudolf","Bauer",48,"Košice","RNDr.","programový manažér, analytik",6,"KDH",191443,485752,14,9867,6,7,-1,1,0,0,0,0.5506389,0.84071596456337,32,26,6,5.53846153846154,6.4,54,25,0.723919725185319,0.723919725185319,0.287470620141023,,,,,,,,,,,,,,,1,,1
14,2002,"Irena","Belohorská",54,"","MUDr.","poslankyna/lek",6,"HZDS",560691,1310310,35,31942,30,29,1,0,0,0,1,0.2174434,0.57939308398024,0,0,0,0,0,0,0,0.432486473770877,0.627355601968387,0.167254763585039,,,,,,,,,,,,,,,1,,1
19,2002,"Jozef","Brhel",41,"","Ing.","poslanec /economist",6,"HZDS",560691,1310310,35,1392,25,24,1,0,0,0,1,0.0966227,0.495589273112209,1,1,0,10,0,10,0,0.432486473770877,0.627355601968387,0.167254763585039,,,,,,,,,,,,,,,1,,1
21,2002,"Július","Brocka",45,"","Ing.","poslanec /polit",12,"KDH",237202,523559,15,24421,5,6,-1,1,0,0,0,0.2591779,0.923959068454481,20,6,14,9.83333333333333,3.33333333333333,27,21,0.557734314615049,0.673197903014417,0.0206422018348624,6,"KDH",191443,485752,14,24932,4,5,-1,1,1,0,0,0.3637318,0,0,1
21,2006,"Július","Brocka",49,"Križovany nad Dudváhom","Ing.","poslanec NR SR",6,"KDH",191443,485752,14,24932,4,5,-1,1,1,0,0,0.3637318,0.891701319833665,46,42,4,6.11904761904762,4.5,60,17,0.723919725185319,0.723919725185319,0.287470620141023,13,"KDH",215755,518170,15,26581,4,4,0,1,1,0,0,1.554937,0,0,1
23,2002,"Béla","Bugár",44,"","Ing.","strojný inžinier",11,"SMK",321069,789916,20,205092,1,1,0,1,1,0,0,0.3625959,0.957657021877205,0,0,0,0,0,0,0,0.742781749562763,0.785533373686545,0.0127028934368384,10,"SMK",269111,791726,20,179237,1,1,0,1,1,0,0,0.8260953,0,0,1
23,2006,"Béla","Bugár",47,"Šamorín","Ing.","strojný inžinier",10,"SMK",269111,791726,20,179237,1,1,0,1,1,0,0,0.8260953,0.922617971433737,4,4,0,27.25,0,59,0,0.765804857470017,0.765804857470017,0.255107575483638,18,"MOST-HÍD",205538,506726,14,137905,1,1,0,1,1,0,0,1.036284,0,1,1
24,2002,"Tibor","Cabaj",48,"","0","poslanec /economist",6,"HZDS",560691,1310310,35,18407,20,20,0,0,0,0,0,0.3460756,0.81757233592096,81,16,65,4.375,7.46666666666667,36,63,0.432486473770877,0.627355601968387,0.167254763585039,14,"HZDS",202540,527450,15,16412,15,6,9,1,0,0,1,0.4171664,0,0,1
